age,sex,DR,f,i,prev,r,,,age,sex,DR,f,i,prev,r,,,DR,f,i,prev
0,female,0.190809555,0.20338568,0,0,0,,,0,female,0.080695067,3.45576E-07,0.000143305,0.000430212,0,,,2.364575219,588540.6766,0,0
0,male,0.134916409,0.230799206,0,0,0,,,0,male,0.062511317,2.63529E-07,0.000137899,0.000414644,0,,,2.158271746,875801.0961,0,0
1,female,0.190809555,0.20338568,0,0,0,,,1,female,0.080695067,3.45576E-07,0.000143305,0.000430212,0,,,2.364575219,588540.6766,0,0
1,male,0.134916409,0.230799206,0,0,0,,,1,male,0.062511317,2.63529E-07,0.000137899,0.000414644,0,,,2.158271746,875801.0961,0,0
2,female,0.190809555,0.196606397,0,0,0,,,2,female,0.080695067,3.45576E-07,0.000143305,0.000430212,0,,,2.364575219,568923.3476,0,0
2,male,0.134916409,0.22310613,0,0,0,,,2,male,0.062511317,2.63529E-07,0.000137899,0.000414644,0,,,2.158271746,846608.6023,0,0
3,female,0.190809555,0.174331608,0,0,0,,,3,female,0.080695067,3.45576E-07,0.000143305,0.000430212,0,,,2.364575219,504466.4036,0,0
3,male,0.134916409,0.197828881,0,0,0,,,3,male,0.062511317,2.63529E-07,0.000137899,0.000414644,0,,,2.158271746,750690.411,0,0
4,female,0.190809555,0.154962226,0,0,0,,,4,female,0.080695067,3.45576E-07,0.000143305,0.000430212,0,,,2.364575219,448416.8863,0,0
4,male,0.134916409,0.175848664,0,0,0,,,4,male,0.062511317,2.63529E-07,0.000137899,0.000414644,0,,,2.158271746,667283.2864,0,0
5,female,0.190809555,0.130750499,0,0,0,,,5,female,0.079719985,1.5592E-07,0.000144617,0.001078114,0,,,2.393497132,838574.6389,0,0
5,male,0.134916409,0.148373393,0,0,0,,,5,male,0.061752664,1.41792E-07,0.000140416,0.00104103,0,,,2.184786866,1046419.37,0,0
6,female,0.190809555,0.101696426,0,0,0,,,6,female,0.079719985,1.5592E-07,0.000144617,0.001078114,0,,,2.393497132,652234.9388,0,0
6,male,0.134916409,0.115403069,0,0,0,,,6,male,0.061752664,1.41792E-07,0.000140416,0.00104103,0,,,2.184786866,813892.6009,0,0
7,female,0.190809555,0.074013351,0,0,0,,,7,female,0.079719985,1.5592E-07,0.000144617,0.001078114,0,,,2.393497132,474688.2005,0,0
7,male,0.134916409,0.082432725,0,0,0,,,7,male,0.061752664,1.41792E-07,0.000140416,0.00104103,0,,,2.184786866,581365.691,0,0
8,female,0.190809555,0.05254362,0,0,0,,,8,female,0.079719985,1.5592E-07,0.000144617,0.001078114,0,,,2.393497132,336991.0441,0,0
